slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۴۲,۱۳۸۲,۱٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۲۶٬۱۹۰٬۰۰۰ تومان,۱ از ۴,۱,1,,1,1,,,gYBeQ-12
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۵۰,۱۳۸۰,۱٬۱۸۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۶۰۰٬۰۰۰ تومان,۳ از ۴,۱,,,,1,,,gY5hnCf9
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۵۷,۱۴۰۰,۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۸۲۵٬۰۰۰ تومان,۲,۱,1,1,,1,35.720318,51.455246,gYAysUHJ
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۴۶,۱۳۸۰,توافقی,,۱ از ۴,۱,,,1,1,35.719784,51.458042,gYAOblVI
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۴۷,۱۳۸۵,۱٬۱۸۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۱۰۶٬۰۰۰ تومان,۳ از ۴,۱,,,1,1,35.718471131773,51.451959637862,gY3BYqUy
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۵۲,۱۳۹۵,۱٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۷۳۱٬۰۰۰ تومان,۳ از ۴,۱,1,1,1,1,35.72057,51.457214,gY2dh5u8
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۵۸,۱۳۷۹,۱٬۲۸۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۰۶۹٬۰۰۰ تومان,۳ از ۴,۲,,1,1,1,35.723995,51.4592,gYmdiiL_
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۸۰,۱۳۹۶,توافقی,,۳ از ۵,۲,1,1,,1,35.720751861817,51.457722402485,gY2dQ26h
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۱۰۲,۱۳۹۹,۳٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۳۵۳٬۰۰۰ تومان,۲ از ۴,۲,1,1,1,1,35.718353,51.454636,gYAqY4F3
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۴۲,۱۳۸۰,۱٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۰۰۰٬۰۰۰ تومان,۲ از ۳,۱,,,1,1,35.720658024666,51.452658177186,gY_9-CaP
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۵۰,۱۴۰۰,۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۰۰۰٬۰۰۰ تومان,۴,۱,1,1,,1,35.71918,51.454067,gY_FK_L6
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۴۰,۱۳۸۲,۱٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۰۰۰٬۰۰۰ تومان,۴ از ۴,۱,,,1,1,,,gY_1oF6_
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۵۳,۱۳۹۱,توافقی,,۴,۱,1,1,1,1,35.722744,51.456745,gY_Rlnvr
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۷۳,۱۳۹۸,۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۸۷۷٬۰۰۰ تومان,۲,۲,1,1,,1,35.721382,51.453987,gY_JFI_g
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۶۲,۱۴۰۰,توافقی,,۱ از ۴,۱,1,,1,1,35.72139,51.455868,gY5JfJUO
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۵۰,۱۳۹۹,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۰۰۰٬۰۰۰ تومان,۱,۱,1,,,1,35.718852036823,51.458973884583,gY_B1OOy
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۷۵,۱۳۹۵,۲٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۳۳۳٬۰۰۰ تومان,۲ از ۴,۲,1,1,1,1,35.719543713025,51.460788487505,gYutCJIA
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۸۲,۱۴۰۰,۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۴۸۸٬۰۰۰ تومان,۴ از ۴,۲,1,1,1,1,,,gY_RUWTU
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۴۲,۱۳۹۲,۱٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۵۷۱٬۰۰۰ تومان,۱,۱,1,,,1,35.721046,51.45886,gYZJnQp6
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۱۱۵,۱۴۰۰,۳٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۱۷۴٬۰۰۰ تومان,۴ از ۴,۳,1,1,1,1,35.72098,51.453117,gY-ph-ea
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۷۲,۱۴۰۰,۲٬۳۰۴٬۰۰۰٬۰۰۰ تومان,۳۲٬۰۰۰٬۰۰۰ تومان,۵ از ۵,۲,1,,,1,,,gYb1JNY_
apartment-sell,آپارتمان,تهران,ارامنه,tehran,۹۴,۱۳۹۴,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۹۱۵٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,35.723915,51.456886,gY9l-tJM
