slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۸۱,۱۴۰۰,۱٬۰۰۴٬۴۰۰٬۰۰۰ تومان,۱۲٬۴۰۰٬۰۰۰ تومان,۱۳,۲,1,1,1,1,,,gYdFzMKu
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۹۰,۱۴۰۰,۱٬۱۱۶٬۰۰۰٬۰۰۰ تومان,۱۲٬۴۰۰٬۰۰۰ تومان,۱۳,۲,1,1,1,1,,,gYalVGmN
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۷۴,۱۳۹۹,۱٬۱۰۰٬۵۰۰٬۰۰۰ تومان,۱۴٬۸۷۲٬۰۰۰ تومان,۱۷,۱,1,1,1,1,,,gYlVYLxt
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۳۰,۱۳۸۵,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۴۶۲٬۰۰۰ تومان,۱ از ۴,۲,1,1,1,1,35.761177,51.231144,gYBGgqkt
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۹۷,۱۴۰۰,۱٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۱۰٬۸۲۵٬۰۰۰ تومان,۹,۲,1,1,1,1,,,gYbp8x0W
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۱۹,۱۴۰۰,۱٬۲۸۵٬۰۰۰٬۰۰۰ تومان,۱۰٬۷۹۸٬۰۰۰ تومان,۱۱,۳,1,1,1,1,,,gYcphLIW
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۷۹,۱۳۸۲,۲٬۳۳۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۴۹۴٬۰۰۰ تومان,۳ از ۴,۲,,1,1,1,,,gYAmfc5g
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۲۱,۱۴۰۰,۱٬۳۵۶٬۰۰۰٬۰۰۰ تومان,۱۱٬۲۰۷٬۰۰۰ تومان,۴,۳,1,1,1,1,,,gYA6ePRO
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۸۳,۱۳۸۹,۲٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۵۳۰٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gY-lBMP4
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۰۴,۱۴۰۰,۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۶۱۵٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gY3R75Bv
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۲۰,۱۴۰۰,۱٬۷۵۵٬۰۰۰٬۰۰۰ تومان,۱۴٬۶۲۵٬۰۰۰ تومان,۱۰,۳,1,1,1,1,,,gYUJyJ1b
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۱۰,۱۴۰۰,توافقی,,۲ از ۱۸,۲,1,1,1,1,,,gYACcx3A
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۰۳,۱۴۰۰,۹۷۸٬۵۰۰٬۰۰۰ تومان,۹٬۵۰۰٬۰۰۰ تومان,۷,۲,1,1,1,1,,,gYASOS5N
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۱۰,۱۳۹۹,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۶۳٬۶۳۶٬۰۰۰ تومان,۱۱,۲,1,1,1,1,,,gYA-tOTB
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۱۷,۱۳۸۸,۳٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۳۳٬۷۶۱٬۰۰۰ تومان,۲ از ۴,۲,1,1,1,1,,,gYA6dkJT
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۴۳,۱۴۰۰,۱٬۵۸۲٬۰۰۰٬۰۰۰ تومان,۱۱٬۰۶۳٬۰۰۰ تومان,۶,۳,1,1,1,1,,,gYAq9l7I
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۶۰,۱۴۰۰,۸۸۰٬۰۰۰٬۰۰۰ تومان,۱۴٬۶۶۷٬۰۰۰ تومان,۱۰,۱,1,1,1,1,,,gY2ZSY2v
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۱۵,۱۴۰۰,۱٬۶۷۰٬۰۰۰٬۰۰۰ تومان,۱۴٬۵۲۲٬۰۰۰ تومان,۲۲,۲,1,1,1,1,,,gYOldcwB
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۳۰,۱۴۰۰,۱٬۸۶۰٬۰۰۰٬۰۰۰ تومان,۱۴٬۳۰۸٬۰۰۰ تومان,۱۵,۳,1,1,1,1,,,gY69jjYC
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۵۰,۱۴۰۰,۲٬۱۴۵٬۰۰۰٬۰۰۰ تومان,۱۴٬۳۰۰٬۰۰۰ تومان,۲۰,۳,1,1,1,1,,,gY79ne_R
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۷۱,۱۴۰۰,۲٬۵۵۴٬۰۰۰٬۰۰۰ تومان,۱۴٬۹۳۶٬۰۰۰ تومان,۱۲,۴,1,1,1,1,,,gYZlGOxP
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۰۱,۱۳۸۶,۲٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۲۲۸٬۰۰۰ تومان,۳ از ۴,۲,,1,1,1,35.761444,51.23614,gYAGr-6u
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۲۰,۱۳۹۶,۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۵۰۰٬۰۰۰ تومان,۷ از ۱۲,۲,1,1,1,1,,,gYkV-5Se
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۸۲,۱۳۸۵,۲٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۷۰۷٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gYAaqHoM
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۲۵,۱۳۸۶,توافقی,,۳,۳,,1,1,1,35.760075228269,51.239648009194,gYAaKLID
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۶۲,۱۴۰۰,۸۸۰٬۰۰۰٬۰۰۰ تومان,۱۴٬۱۹۴٬۰۰۰ تومان,۷ از ۱۶,۱,1,1,1,1,,,gY7J1CzQ
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۲۰,۱۴۰۰,۱٬۲۹۶٬۰۰۰٬۰۰۰ تومان,۱۰٬۸۰۰٬۰۰۰ تومان,۷,۳,1,1,1,1,,,gYct_8cT
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۸۶,۱۳۸۸,۲٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۳۳٬۱۴۰٬۰۰۰ تومان,۱ از ۴,۲,1,1,1,1,,,gYAiZyut
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۰۰,۱۴۰۰,۱٬۱۳۰٬۰۰۰٬۰۰۰ تومان,۱۱٬۳۰۰٬۰۰۰ تومان,۳,۲,1,1,,1,,,gYAaJoMS
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۱۰,۱۴۰۰,۳٬۹۷۰٬۰۰۰٬۰۰۰ تومان,۳۶٬۰۹۱٬۰۰۰ تومان,۱۵,۲,1,1,1,1,,,gY6BCxvg
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۰۵,۱۳۹۴,۳٬۵۷۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۰۰۰٬۰۰۰ تومان,۳ از ۴,۲,1,1,1,1,,,gYAWJVAr
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۰۰,۱۴۰۰,۱٬۱۳۰٬۰۰۰٬۰۰۰ تومان,۱۱٬۳۰۰٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gY9hwnYu
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۰۵,۱۳۹۱,۳٬۶۷۵٬۰۰۰٬۰۰۰ تومان,۳۵٬۰۰۰٬۰۰۰ تومان,همکف از ۳,۲,1,1,1,1,,,gYAK5uCy
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۲۱,۱۴۰۰,۱٬۳۵۶٬۰۰۰٬۰۰۰ تومان,۱۱٬۲۰۷٬۰۰۰ تومان,۳,۳,1,1,1,1,,,gYAKJasm
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۱۷,۱۳۹۴,۴٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۴۷۰٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gYA6IQsZ
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۶۸,۱۳۸۶,۲٬۳۴۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۴۱۲٬۰۰۰ تومان,۸,۱,1,,,1,,,gYA2YX9A
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۸۲,۱۳۹۶,۲٬۵۹۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۵۸۵٬۰۰۰ تومان,۲ از ۴,۲,1,1,1,1,35.757309262948,51.226113267763,gY6Zhsgw
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۸۳,۱۳۸۷,۲٬۵۸۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۰۸۴٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gYAq4--S
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۹۸,۱۴۰۰,۳٬۲۱۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۷۵۵٬۰۰۰ تومان,۱,۲,1,1,1,1,35.757808980669,51.221904158537,gYAqYnYB
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۲۰,۱۴۰۰,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۸۳۳٬۰۰۰ تومان,۱,۳,1,1,1,1,,,gYAKYngq
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۱۱۵,۱۴۰۰,۱٬۶۴۴٬۵۰۰٬۰۰۰ تومان,۱۴٬۳۰۰٬۰۰۰ تومان,۱۶,۲,1,1,1,1,,,gY71inXg
apartment-sell,آپارتمان,تهران,آبشار تهران,tehran,۶۹,۱۳۸۸,۲٬۳۶۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۲۰۳٬۰۰۰ تومان,۶,۱,1,,1,1,,,gYAOIIEH
