slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,امیرآباد,tehran,۲۱۰,۱۴۰۰,توافقی,,۳,۳,1,1,1,1,,,gYBmgESo
apartment-sell,آپارتمان,تهران,امیرآباد,tehran,۱۱۱,۱۳۹۵,توافقی,,۱,۲,1,1,1,1,,,gYBSAVbM
apartment-sell,آپارتمان,تهران,امیرآباد,tehran,۱۷۵,۱۴۰۰,توافقی,,۳ از ۵,۳,1,1,1,1,35.734943,51.392353,gYBSwBVO
apartment-sell,آپارتمان,تهران,امیرآباد,tehran,۹۰,۱۳۹۹,توافقی,,۳ از ۶,۲,1,1,1,1,,,AYZGyekF
apartment-sell,آپارتمان,تهران,امیرآباد,tehran,۱۱۸,۱۴۰۰,توافقی,,۲,۲,1,1,1,1,,,gY4N-c5S
apartment-sell,آپارتمان,تهران,امیرآباد,tehran,۱۱۸,۱۴۰۰,توافقی,,۳,۲,1,1,1,1,,,gYAy_hHU
apartment-sell,آپارتمان,تهران,امیرآباد,tehran,۲۰۳,۱۳۹۱,۱۳٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۶۸٬۷۱۹٬۰۰۰ تومان,۴,۳,1,1,1,1,,,gYAuvhyQ
apartment-sell,آپارتمان,تهران,امیرآباد,tehran,۲۳۰,۱۴۰۰,توافقی,,۵,۳,1,1,1,1,,,gY6Nw2sp
apartment-sell,آپارتمان,تهران,امیرآباد,tehran,۱۶۵,۱۴۰۰,توافقی,,۳,۳,1,1,1,1,,,gYfp61L3
apartment-sell,آپارتمان,تهران,امیرآباد,tehran,۱۳۷,۱۴۰۰,توافقی,,۵ از ۶,۳,1,1,1,1,,,gYpR0Dx5
apartment-sell,آپارتمان,تهران,امیرآباد,tehran,۷۶,۱۳۷۱,۳٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۷۶۳٬۰۰۰ تومان,۳ از ۴,۲,,1,1,1,,,gYASfJMP
