slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,باغ فیض,tehran,۶۳,۱۳۸۶,۲٬۲۴۵٬۰۰۰٬۰۰۰ تومان,۳۵٬۶۳۵٬۰۰۰ تومان,۱ از ۴,۱,,1,1,1,,,gYAuKqpN
apartment-sell,آپارتمان,تهران,باغ فیض,tehran,۶۱,۱۳۸۷,۲٬۲۴۴٬۰۰۰٬۰۰۰ تومان,۳۶٬۷۸۷٬۰۰۰ تومان,۱ از ۴,۱,,1,1,1,,,gY_Z5Z-_
apartment-sell,آپارتمان,تهران,باغ فیض,tehran,۶۸,۱۳۸۱,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۴٬۱۱۸٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYiZFK2t
apartment-sell,آپارتمان,تهران,باغ فیض,tehran,۱۰۰,۱۳۹۵,۴٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۰۰۰٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYedNtvl
apartment-sell,آپارتمان,تهران,باغ فیض,tehran,۱۱۳,۱۳۸۸,۵٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۴۴۲٬۰۰۰ تومان,۲ از ۵,۲,1,1,1,1,,,gY_VMc8P
apartment-sell,آپارتمان,تهران,باغ فیض,tehran,۵۵,۱۳۹۴,۲٬۸۷۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۱۸۲٬۰۰۰ تومان,۴,۱,1,1,1,1,,,gYylS93Z
apartment-sell,آپارتمان,تهران,باغ فیض,tehran,۱۰۹,۱۳۸۸,توافقی,,۱,۲,1,1,1,1,35.744724,51.322525,gYAy8aPs
apartment-sell,آپارتمان,تهران,باغ فیض,tehran,۷۷,۱۳۸۳,۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۶۴۹٬۰۰۰ تومان,۵,۲,1,1,1,1,,,gYBaAVQI
apartment-sell,آپارتمان,تهران,باغ فیض,tehran,۴۰,۱۴۰۰,توافقی,,۶,۱,1,1,1,1,,,gYBWQUB2
apartment-sell,آپارتمان,تهران,باغ فیض,tehran,۵۳,۱۳۸۹,۲٬۸۸۰٬۰۰۰٬۰۰۰ تومان,۵۴٬۳۴۰٬۰۰۰ تومان,۲,۱,1,1,1,1,,,gY4l7piI
