slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۰۰,۱۴۰۰,توافقی,,۳,۲,1,1,1,1,,,gY3JnIK4
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۵۰,۱۳۹۹,۸٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۵۴٬۰۰۰٬۰۰۰ تومان,۳ از ۵,۳,1,1,1,1,35.711876,51.373596,gYmlEvsi
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۲۱,۱۴۰۰,۷٬۰۸۰٬۰۰۰٬۰۰۰ تومان,۵۸٬۵۱۲٬۰۰۰ تومان,۵ از ۵,۲,1,1,1,1,,,gY_ZnDTA
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۰۱,۱۳۷۹,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۶۵۳٬۰۰۰ تومان,۳,۲,,,1,1,,,gYA6-V20
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۰۰,۱۴۰۰,۵٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۰۰۰٬۰۰۰ تومان,۲ از ۵,۲,1,1,1,1,35.70749,51.375195,gYzMga4C
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۴۸,۱۳۹۹,۷٬۷۷۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۵۰۰٬۰۰۰ تومان,۳,۳,1,1,1,1,,,gY2RyhDX
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۷۰,۱۳۸۲,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,۳,۲,,1,1,1,,,gYASNR24
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۱۵,۱۳۷۲,۳٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۱۷۴٬۰۰۰ تومان,۴ از ۴,۲,,1,1,1,,,gYAyc9kk
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۹۷,۱۳۸۵,۳٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۳۶٬۵۹۸٬۰۰۰ تومان,۱,۲,,,,1,,,gYAO8G4M
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۴۴,۱۳۸۴,۶٬۰۴۸٬۰۰۰٬۰۰۰ تومان,۴۲٬۰۰۰٬۰۰۰ تومان,۴ از ۵,۳,1,1,1,1,35.71573,51.375042,gYeRfQTG
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۰۳,۱۳۸۰,توافقی,,۲ از ۷,۲,,1,1,1,,,gYAu6QOt
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۳۵,۱۳۹۳,۶٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۹۲۶٬۰۰۰ تومان,۱ از ۵,۳,1,1,1,1,,,gYkd1gNV
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۹۵,۱۳۸۳,۸٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۱۲۸٬۰۰۰ تومان,۲ از ۵,۴,1,1,1,1,,,gY5VvotW
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۷۵,۱۳۹۶,۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۰۰۰٬۰۰۰ تومان,۲ از ۶,۲,1,1,,1,,,gY_d5lo4
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۰۰,۱۴۰۰,۶٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۶۱٬۰۰۰٬۰۰۰ تومان,۴ از ۴,۲,1,1,1,1,35.717968,51.376717,gYA6ZzZo
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۲۵,۱۳۹۸,۶٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۶۰۰٬۰۰۰ تومان,۵ از ۶,۲,1,1,1,1,,,gYAuJ-SI
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۸۰,۱۳۸۴,۳٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۲۵۰٬۰۰۰ تومان,۵ از ۵,۲,1,1,1,1,,,gY3FJLLy
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۷۴,۱۳۹۶,۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۷۰۳٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gY9RQ6Sv
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۰۰,۱۴۰۰,توافقی,,۵,۲,1,1,1,1,35.70962,51.37527,gYqloZ2u
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۹۵,۱۴۰۰,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۷۳٬۶۸۴٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,35.71961,51.3765,gYA6Y539
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۰۰,۱۴۰۰,۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۵۱٬۰۰۰٬۰۰۰ تومان,۲ از ۵,۲,1,1,1,1,,,gY7l1dgA
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۸۵,۱۳۹۸,۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۶۰٬۰۰۰٬۰۰۰ تومان,۵ از ۵,۲,1,1,1,1,35.711708,51.37455,gYAu45DE
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۶۸,۱۳۹۰,۳٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۰۰۰٬۰۰۰ تومان,۳ از ۵,۱,1,1,1,1,35.711586,51.375076,gY4RqRHg
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۲۶,۱۳۸۷,۵٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۴۴٬۴۴۴٬۰۰۰ تومان,۴ از ۵,۳,1,1,1,1,,,gY_ddKtQ
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۰۰,۱۴۰۰,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۰۰۰٬۰۰۰ تومان,۲ از ۵,۲,1,1,1,1,35.7096,51.376545,QY3nPZGl
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۹۰,۱۳۹۶,۵٬۲۲۰٬۰۰۰٬۰۰۰ تومان,۵۸٬۰۰۰٬۰۰۰ تومان,۵ از ۵,۲,1,1,1,1,35.72183,51.37632,gY3RIj6o
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۶۸,۱۳۷۴,۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۶٬۷۶۵٬۰۰۰ تومان,۱ از ۴,۲,,,1,1,,,gY_l6PAP
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۷۴,۱۳۹۴,۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۷۰۳٬۰۰۰ تومان,۱ از ۶,۲,1,1,,1,35.722736,51.376896,gY7VMs1g
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۱۸,۱۳۸۰,۴٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۳۶٬۰۱۷٬۰۰۰ تومان,۱ از ۴,۳,1,,1,1,35.712963,51.374146,gY_x4oLw
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۶۰,۱۳۹۵,۳٬۱۹۰٬۰۰۰٬۰۰۰ تومان,۵۳٬۱۶۷٬۰۰۰ تومان,۴,۱,1,1,1,1,,,gY4VsjTW
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۳۵,۱۴۰۰,توافقی,,۲ از ۵,۳,1,1,1,1,,,gY4l_ZuQ
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۵۱,۱۴۰۰,۸٬۱۹۰٬۰۰۰٬۰۰۰ تومان,۵۴٬۲۳۸٬۰۰۰ تومان,۵,۳,1,1,1,1,,,gY_11DEv
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۰۱,۱۴۰۰,۵٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۵۷٬۹۲۱٬۰۰۰ تومان,۴ از ۴,۲,1,1,1,1,,,gY25xyCb
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۵۹,۱۳۹۵,۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۴٬۲۳۷٬۰۰۰ تومان,۳,۱,1,1,1,1,,,gY_NksUW
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۱۵,۱۳۷۲,۳٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۱۷۴٬۰۰۰ تومان,۴ از ۴,۲,,1,1,1,35.713493,51.375374,gYI1XNI1
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۶۸,۱۳۹۱,۳٬۳۸۰٬۰۰۰٬۰۰۰ تومان,۴۹٬۷۰۶٬۰۰۰ تومان,۳ از ۵,۱,1,1,1,1,35.71177,51.375454,gY7Frojy
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۵۰,۱۳۸۷,توافقی,,۵ از ۵,۳,1,1,1,1,,,gY5VgOkR
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۷۰,۱۳۸۴,۲٬۸۳۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۴۲۹٬۰۰۰ تومان,۴,۲,,,1,1,,,gY7NptAX
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۸۸,۱۳۷۱,۳٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۹۰۹٬۰۰۰ تومان,۲,۲,,1,1,1,,,gYoRAGrJ
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۸۵,۱۴۰۰,توافقی,,۴ از ۵,۲,1,1,1,1,,,gY7980VM
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۲۱,۱۴۰۰,۶٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۳۷۲٬۰۰۰ تومان,۳,۳,1,1,1,1,,,gY-FVMHj
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۹۲,۱۳۸۳,۸٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۸۳۳٬۰۰۰ تومان,۲ از ۴,۴,1,1,1,1,35.723038,51.376583,gY5BwBii
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۷۰,۱۳۹۹,۳٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۵۳٬۵۷۱٬۰۰۰ تومان,۳ از ۴,۱,1,1,1,1,35.719215,51.374332,gYzAwj6Y
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۶۰,۱۳۹۳,۳٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۵۰۰٬۰۰۰ تومان,۳,۱,1,1,1,1,,,gY-NxqHJ
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۱۳,۱۴۰۰,۵٬۹۹۰٬۰۰۰٬۰۰۰ تومان,۵۳٬۰۰۹٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,,,gY-1AnD9
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۹۸,۱۳۸۷,۴٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۹۵۹٬۰۰۰ تومان,۴ از ۴,۲,1,1,1,1,35.709324,51.373558,gY-FAgSh
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۵۰,۱۴۰۰,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۳٬۳۳۳٬۰۰۰ تومان,۲ از ۵,۳,1,1,1,1,35.7103,51.374004,gY9tvxLv
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۸۰,۱۴۰۰,توافقی,,۲,۳,1,1,1,1,,,gY51PrdX
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۰۰,۱۴۰۰,۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۶۰٬۰۰۰٬۰۰۰ تومان,۴ از ۴,۲,1,1,1,1,35.716766,51.37482,gYvxcHeB
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۰۰,۱۳۸۵,۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۰۰۰٬۰۰۰ تومان,۴,۲,1,1,1,1,,,gY7hlEXu
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۸۹,۱۳۹۴,۴٬۴۴۰٬۰۰۰٬۰۰۰ تومان,۴۹٬۸۸۸٬۰۰۰ تومان,۴ از ۶,۲,1,1,1,1,35.7176,51.375587,gY8pOFBY
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۳۸,۱۴۰۰,۷٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۰۷۲٬۰۰۰ تومان,۵,۳,1,1,1,1,,,gY8ZNKE7
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۳۵,۱۴۰۰,۷٬۴۲۵٬۰۰۰٬۰۰۰ تومان,۵۵٬۰۰۰٬۰۰۰ تومان,۲,۳,1,1,1,1,35.710038573966,51.376187677204,gY8ZdZUD
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۳۸,۱۴۰۰,۷٬۶۵۹٬۰۰۰٬۰۰۰ تومان,۵۵٬۵۰۰٬۰۰۰ تومان,۵ از ۵,۳,1,1,1,1,35.712193,51.37514,gY8Zsl43
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۱۲۸,۱۳۹۵,۷٬۱۱۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۵۴۷٬۰۰۰ تومان,۴,۳,1,1,1,1,,,gY8Zrino
apartment-sell,آپارتمان,تهران,پاتریس لومومبا,tehran,۹۰,۱۳۹۷,توافقی,,۵,۲,1,1,1,1,,,gYndo-c5
