slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,آهنگ,tehran,۶۰,۱۴۰۰,۱٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۵۰۰٬۰۰۰ تومان,۱ از ۶,۱,1,1,,1,,,gYBWA8r0
apartment-sell,آپارتمان,تهران,آهنگ,tehran,۷۰,۱۳۸۱,توافقی,,۱,۲,,1,1,1,35.660137,51.482155,gYBOQxXI
apartment-sell,آپارتمان,تهران,آهنگ,tehran,۷۰,۱۳۸۳,۱٬۶۴۵٬۰۰۰٬۰۰۰ تومان,۲۳٬۵۰۰٬۰۰۰ تومان,۴,۲,,1,1,1,,,gYBGgWjN
apartment-sell,آپارتمان,تهران,آهنگ,tehran,۱۵۶,۱۳۹۲,توافقی,,۱,۳,1,1,1,1,35.65874,51.48005,gYA6fbOw
apartment-sell,آپارتمان,تهران,آهنگ,tehran,۵۰,۱۳۸۶,۱٬۳۹۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۸۰۰٬۰۰۰ تومان,۴,۱,1,,1,1,,,gYAaP0UB
apartment-sell,آپارتمان,تهران,آهنگ,tehran,۵۰,۱۳۸۵,۱٬۵۸۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۶۰۰٬۰۰۰ تومان,۳ از ۵,۱,1,,1,1,,,gYAOvrri
apartment-sell,آپارتمان,تهران,آهنگ,tehran,۶۱,۱۳۸۵,۱٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۱۳۱٬۰۰۰ تومان,۲ از ۴,۱,,,1,1,,,gY-hH8ZC
apartment-sell,آپارتمان,تهران,آهنگ,tehran,۸۰,۱۳۸۰,۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۲۱٬۲۵۰٬۰۰۰ تومان,۴ از ۴,۲,,,1,1,,,gYAqOiVB
apartment-sell,آپارتمان,تهران,آهنگ,tehran,۱۱۰,۱۳۹۷,۴٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۱۸۲٬۰۰۰ تومان,۵ از ۶,۲,1,1,,1,,,gYAueAOr
apartment-sell,آپارتمان,تهران,آهنگ,tehran,۴۰,۱۳۸۹,۱٬۱۳۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۲۵۰٬۰۰۰ تومان,۲ از ۴,۱,,1,1,1,,,gYAStaey
