slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,المهدی,tehran,۷۵,۱۳۸۵,۲٬۶۹۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۸۶۷٬۰۰۰ تومان,۱,۲,,,,1,35.774895,51.331577,gYBKQLkU
apartment-sell,آپارتمان,تهران,المهدی,tehran,۱۱۷,۱۳۸۷,۵٬۷۷۰٬۰۰۰٬۰۰۰ تومان,۴۹٬۳۱۶٬۰۰۰ تومان,۴ از ۴,۳,1,1,1,1,35.77443,51.33438,gY5VBQcD
apartment-sell,آپارتمان,تهران,المهدی,tehran,۶۳,۱۳۸۷,۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۷۹۴٬۰۰۰ تومان,۴ از ۴,۲,1,1,1,1,,,gY69jCJO
apartment-sell,آپارتمان,تهران,المهدی,tehran,۱۴۰,۱۴۰۰,توافقی,,۲ از ۴,۳,1,1,1,1,35.77754,51.32651,gYntXT-G
apartment-sell,آپارتمان,تهران,المهدی,tehran,۶۴,۱۳۸۸,۲٬۶۲۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۹۳۸٬۰۰۰ تومان,۴ از ۴,۱,,1,1,1,35.772736,51.330296,gYA2OHn_
apartment-sell,آپارتمان,تهران,المهدی,tehran,۵۹,۱۳۸۰,۲٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۶۷۸٬۰۰۰ تومان,۲,۲,,1,1,1,,,gYd9wmGp
apartment-sell,آپارتمان,تهران,المهدی,tehran,۹۸,۱۳۹۵,۴٬۶۵۵٬۰۰۰٬۰۰۰ تومان,۴۷٬۵۰۰٬۰۰۰ تومان,۳ از ۱۱,۲,1,1,1,1,,,gYklPDpP
apartment-sell,آپارتمان,تهران,المهدی,tehran,۷۵,۱۴۰۰,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۵۷٬۳۳۳٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,35.775814,51.321674,gYAiraiW
apartment-sell,آپارتمان,تهران,المهدی,tehran,۶۹,۱۳۸۰,۲٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۳۶٬۹۵۷٬۰۰۰ تومان,۳ از ۴,۱,,1,,1,35.776028,51.332977,gYm9UGkR
apartment-sell,آپارتمان,تهران,المهدی,tehran,۷۹۰,۱۴۰۰,۵۵٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۷۰٬۰۰۰٬۰۰۰ تومان,۵ از ۵,+۴,1,1,1,1,35.77656,51.332405,gY3dZrRI
apartment-sell,آپارتمان,تهران,المهدی,tehran,۷۸,۱۳۸۰,۳٬۷۲۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۶۹۲٬۰۰۰ تومان,۳ از ۴,۲,,1,1,1,35.775536,51.334194,gYAqKS4T
apartment-sell,آپارتمان,تهران,المهدی,tehran,۷۸,۱۳۸۰,۳٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۴۳۶٬۰۰۰ تومان,۳,۲,,1,1,1,35.77578,51.334267,gYAiKJrp
apartment-sell,آپارتمان,تهران,المهدی,tehran,۱۲۴,۱۴۰۰,۵٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۳۷۱٬۰۰۰ تومان,۱,۲,1,1,1,1,35.77199,51.32401,gYptBNWX
apartment-sell,آپارتمان,تهران,المهدی,tehran,۹۰,۱۳۸۵,۳٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۴۴۴٬۰۰۰ تومان,۴ از ۴,۲,,1,1,1,35.772797,51.330338,gYahMBEc
apartment-sell,آپارتمان,تهران,المهدی,tehran,۷۰,۱۳۸۳,۲٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۱۴۳٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gY_Zb2V2
apartment-sell,آپارتمان,تهران,المهدی,tehran,۸۰,۱۳۸۴,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۷٬۵۰۰٬۰۰۰ تومان,۱,۲,,,1,1,,,gY_9q7Ey
apartment-sell,آپارتمان,تهران,المهدی,tehran,۶۴,۱۳۸۵,۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۹٬۰۶۲٬۰۰۰ تومان,۲,۱,,1,,1,35.775013,51.32235,gYndpjmK
