slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,بازار,tehran,۴۸,۱۳۹۴,توافقی,,۳,۱,,,1,1,,,gYACKc6z
apartment-sell,آپارتمان,تهران,بازار,tehran,۷۴,۱۳۹۲,۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۳۲۴٬۰۰۰ تومان,۱ از ۵,۲,1,1,,1,35.665141500069,51.414213180542,gY_x_0v2
apartment-sell,آپارتمان,تهران,بازار,tehran,۲۶۲,۱۳۸۳,۲۸٬۲۹۶٬۰۰۰٬۰۰۰ تومان,۱۰۸٬۰۰۰٬۰۰۰ تومان,همکف,۱,,1,1,1,35.672114410258,51.417689323425,gY_JvLOp
apartment-sell,آپارتمان,تهران,بازار,tehran,۶۷,۱۳۹۳,۱٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۱۴۹٬۰۰۰ تومان,۲ از ۴,۲,1,,1,1,,,gY_RMgwd
apartment-sell,آپارتمان,تهران,بازار,tehran,۷۲,۱۳۹۴,۲٬۱۶۵٬۰۰۰٬۰۰۰ تومان,۳۰٬۰۶۹٬۰۰۰ تومان,۲,۲,1,,1,1,,,gY69W03Y
apartment-sell,آپارتمان,تهران,بازار,tehran,۵۶,۱۳۹۰,۱٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۱۹٬۶۴۳٬۰۰۰ تومان,۳ از ۴,۱,1,1,,1,,,gY_FWqPC
apartment-sell,آپارتمان,تهران,بازار,tehran,۵۵,۱۳۹۲,۳٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۶۰٬۰۰۰٬۰۰۰ تومان,۲ از ۴,۱,1,,1,1,,,gY9dHNpt
apartment-sell,آپارتمان,تهران,بازار,tehran,۷۸,۱۳۹۶,توافقی,,۴,۲,1,1,1,1,,,gY9Zlxye
apartment-sell,آپارتمان,تهران,بازار,tehran,۵۰,۱۳۸۴,توافقی,,همکف از ۳,۲,,1,1,1,,,gY89cLbb
apartment-sell,آپارتمان,تهران,بازار,tehran,۴۹,۱۳۷۸,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۷۱٬۴۲۹٬۰۰۰ تومان,۲ از ۳,۲,,1,1,1,35.695455726547,51.424136379288,gY4FAFXP
apartment-sell,آپارتمان,تهران,بازار,tehran,۴۰,۱۳۹۲,توافقی,,۴,۱,1,,1,1,,,gY2NM29x
apartment-sell,آپارتمان,تهران,بازار,tehran,۱,۱۴۰۰,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,همکف,بدون اتاق,1,1,1,1,,,gY1B2Ftc
apartment-sell,آپارتمان,تهران,بازار,tehran,۷۰,۱۳۸۴,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۵۰٬۰۰۰٬۰۰۰ تومان,۳,۲,,,1,1,,,gYzpOTTZ
apartment-sell,آپارتمان,تهران,بازار,tehran,۴۵,۱۳۹۰,۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۲۲۲٬۰۰۰ تومان,۳ از ۴,۱,1,1,1,1,,,gYsJWORW
apartment-sell,آپارتمان,تهران,بازار,tehran,۶۵,۱۳۸۵,توافقی,,۳ از ۳,۱,,,,1,,,gYqhJtVv
apartment-sell,آپارتمان,تهران,بازار,tehran,۶۳,۱۳۸۹,۱٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۶۰۳٬۰۰۰ تومان,۵ از ۵,۱,1,,1,1,,,gYqZyEE0
apartment-sell,آپارتمان,تهران,بازار,tehran,۳۷۰,۱۳۹۵,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۸٬۹۱۹٬۰۰۰ تومان,۱,۲,1,1,1,1,,,gYpBB_0x
apartment-sell,آپارتمان,تهران,بازار,tehran,۵۵,۱۳۸۵,۱٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۱٬۸۱۸٬۰۰۰ تومان,همکف از ۴,۱,1,1,,1,,,gYpJwchW
apartment-sell,آپارتمان,تهران,بازار,tehran,۱۷۵,۱۳۷۵,۴٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۵۷۱٬۰۰۰ تومان,۱ از ۳,۱,1,,,1,,,gYo5fcv4
apartment-sell,آپارتمان,تهران,بازار,tehran,۱۱۹,۱۴۰۰,توافقی,,۹,۳,1,1,1,1,,,gYm9WlUD
apartment-sell,آپارتمان,تهران,بازار,tehran,۵۵,۱۳۹۱,۱٬۳۷۵٬۰۰۰٬۰۰۰ تومان,۲۵٬۰۰۰٬۰۰۰ تومان,۴,۱,1,1,,1,,,gYj99LAz
