slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۴۹,۱۳۹۷,۸٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۳٬۶۹۱٬۰۰۰ تومان,۲ از ۵,۳,1,1,1,1,,,gYtdiAd8
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۸۴,۱۳۸۰,۷٬۳۶۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,۵ از ۶,۳,1,1,1,1,35.718758,51.40566,gY2FjZNH
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۸۲,۱۳۷۴,۲٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۳۱۷٬۰۰۰ تومان,۲,۲,,1,1,1,,,gY49_rWA
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۷۵,۱۴۰۰,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۶۰٬۰۰۰٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,,,gYAOrSfK
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۱۵,۱۳۷۵,۵٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۶۹۶٬۰۰۰ تومان,همکف از ۲,۳,1,,1,1,,,gYnse_-1
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۳۷,۱۳۸۰,۵٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۶۸۶٬۰۰۰ تومان,۲ از ۵,۳,1,1,1,1,,,gYA6aiOU
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۰۰,۱۳۸۱,توافقی,,۱,۲,1,1,1,1,35.71796,51.40598,gYAyas2e
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۹۸,۱۳۸۳,۳٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۷۷۶٬۰۰۰ تومان,۲,۲,,1,1,1,,,gY25wGE6
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۲۵,۱۳۷۱,توافقی,,۵ از ۵,۲,1,1,1,1,,,gY2NhG1v
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۷۱,۱۳۷۱,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۲۱٬۱۲۷٬۰۰۰ تومان,۲,۱,,,1,1,35.71668,51.40348,gYAOIy8B
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۹۶,۱۳۹۹,توافقی,,۳ از ۵,۲,1,1,1,1,,,gY_lPWLL
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۰۰,۱۳۷۵,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۰۰۰٬۰۰۰ تومان,۳ از ۴,۲,,,,1,,,gY_9bVyO
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۴۹,قبل از ۱۳۷۰,توافقی,,۲ از ۲,۳,,1,1,1,,,gY_lLcKg
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۲۴۶,۱۳۸۵,۸٬۶۰۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۹۵۹٬۰۰۰ تومان,۵ از ۵,۳,1,1,1,1,,,gY5tBF6z
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۸۸,۱۴۰۰,۴٬۸۴۰٬۰۰۰٬۰۰۰ تومان,۵۵٬۰۰۰٬۰۰۰ تومان,۵,۲,1,1,1,1,,,gY25RBKe
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۷۴,۱۳۸۰,۲٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۵۱۴٬۰۰۰ تومان,۱ از ۳,۱,,1,1,1,,,gYqtJd5j
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۶۳,۱۳۷۵,۲٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۰۶۳٬۰۰۰ تومان,۱,۱,1,,,1,,,gY_lZ5Le
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۴۵,۱۳۹۶,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۲۷۶٬۰۰۰ تومان,۴,۳,1,1,1,1,35.71285,51.401627,gY7pGGJo
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۱۱,۱۴۰۰,توافقی,,۲ از ۴,۳,1,1,1,1,35.714397,51.40491,gYpNYFT5
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۹۵,۱۳۹۵,۴٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۳۱۶٬۰۰۰ تومان,۱ از ۴,۲,1,1,1,1,,,gY_Z2yZs
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۸۶,۱۳۸۵,توافقی,,۱ از ۴,۲,,,1,1,,,gY_ZGV_L
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۶۳,۱۳۹۱,۲٬۸۳۵٬۰۰۰٬۰۰۰ تومان,۴۵٬۰۰۰٬۰۰۰ تومان,۵,۱,1,1,,1,35.71326,51.4063,gY_JmAmk
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۰۳,۱۴۰۰,توافقی,,۶,۲,1,1,1,1,,,gYxpSxSc
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۱۳,۱۴۰۰,توافقی,,۳ از ۵,۳,1,1,1,1,35.70713535349533,51.38991852513679,gYf5KasB
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۹۰,قبل از ۱۳۷۰,۶٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۰۰۰٬۰۰۰ تومان,۹ از ۱۰,۳,1,,1,1,35.71199,51.403828,gYpZT0EX
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۹۰,۱۳۸۷,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۸۸۹٬۰۰۰ تومان,۱ از ۴,۲,,1,1,1,,,gYsJ_wCs
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۸۲,۱۳۸۸,۳٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۵۶۱٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gY8lZeSD
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۱۱۹,۱۳۷۴,۳٬۷۶۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۵۹۷٬۰۰۰ تومان,۴ از ۴,۳,,1,1,1,,,gYVZrk2G
apartment-sell,آپارتمان,تهران,بلوار کشاورز,tehran,۵۲,۱۳۸۰,۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۳۲٬۶۹۲٬۰۰۰ تومان,۳,۱,,,1,1,,,gYMZFUT1
