slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۳۸,۱۳۹۳,توافقی,,۴ از ۵,۳,1,1,1,1,,,gYAWfAtZ
apartment-sell,آپارتمان,تهران,ایران,tehran,۸۵,۱۴۰۰,۳٬۲۳۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۰۰۰٬۰۰۰ تومان,۲,۲,1,1,,1,,,gYc1TkZx
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۷۴,۱۳۹۹,۹٬۰۴۸٬۰۰۰٬۰۰۰ تومان,۵۲٬۰۰۰٬۰۰۰ تومان,۴ از ۵,۳,1,1,1,1,,,gYAKtlRi
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۰۴,۱۳۸۰,۲٬۴۹۶٬۰۰۰٬۰۰۰ تومان,۲۴٬۰۰۰٬۰۰۰ تومان,۳,۲,,1,1,1,,,gYAOMirH
apartment-sell,آپارتمان,تهران,ایران,tehran,۷۶,۱۳۸۵,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۹۴۷٬۰۰۰ تومان,۳ از ۴,۲,,,1,1,35.687787455866,51.444975998995,gYA-7Ypr
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۱۵,قبل از ۱۳۷۰,۳٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۱۳۰٬۰۰۰ تومان,۲,۲,,,1,1,,,gYvxo4cU
apartment-sell,آپارتمان,تهران,ایران,tehran,۲۰۰,۱۴۰۰,۱۲٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۶۰٬۰۰۰٬۰۰۰ تومان,۴,۳,1,1,1,1,,,gYl1GL9b
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۵۰,۱۳۸۳,۵٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۳۷٬۰۰۰٬۰۰۰ تومان,۲,۳,,1,,1,,,gY0ldIy_
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۳۸,۱۴۰۰,۸٬۲۷۰٬۰۰۰٬۰۰۰ تومان,۵۹٬۹۲۸٬۰۰۰ تومان,۲,۳,1,1,1,1,,,gY0dNQ_o
apartment-sell,آپارتمان,تهران,ایران,tehran,۶۷,۱۳۸۳,۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۲۶٬۸۶۶٬۰۰۰ تومان,۴,۲,,1,1,1,,,gY0dRGrw
apartment-sell,آپارتمان,تهران,ایران,tehran,۵۵,۱۳۸۸,۲٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۱۸۲٬۰۰۰ تومان,۳ از ۳,۱,,,1,1,35.68288,51.445072,gYAKLRx9
apartment-sell,آپارتمان,تهران,ایران,tehran,۴۰,۱۳۸۵,۱٬۰۳۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۷۵۰٬۰۰۰ تومان,۳,۱,,,1,1,,,gY6dipbU
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۰۵,۱۳۸۵,۳٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۳۱٬۴۲۹٬۰۰۰ تومان,۲ از ۳,۲,,1,1,1,,,gY7JVFTa
apartment-sell,آپارتمان,تهران,ایران,tehran,۸۸,۱۴۰۰,۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۵۱٬۱۳۶٬۰۰۰ تومان,۱ از ۵,۲,1,1,1,1,35.686245,51.444355,gY_BPyh0
apartment-sell,آپارتمان,تهران,ایران,tehran,۶۳,۱۳۸۶,۲٬۳۹۴٬۰۰۰٬۰۰۰ تومان,۳۸٬۰۰۰٬۰۰۰ تومان,۳ از ۴,۱,,,,1,35.68442,51.44472,gY_p8blY
apartment-sell,آپارتمان,تهران,ایران,tehran,۸۵,۱۳۸۸,۳٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۳۶٬۴۷۱٬۰۰۰ تومان,۳ از ۴,۲,,1,1,1,,,gY_lMjpF
apartment-sell,آپارتمان,تهران,ایران,tehran,۲۴۵,۱۳۸۱,توافقی,,۲,۳,1,1,1,1,,,gYtlO5qx
apartment-sell,آپارتمان,تهران,ایران,tehran,۹۶,۱۳۹۳,۴٬۰۵۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۱۸۸٬۰۰۰ تومان,۴ از ۸,۲,1,1,1,1,,,gY41vhXZ
apartment-sell,آپارتمان,تهران,ایران,tehran,۷۲,۱۳۸۱,۱٬۸۶۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۸۳۳٬۰۰۰ تومان,۳,۲,,,1,1,,,gY9JBCf4
apartment-sell,آپارتمان,تهران,ایران,tehran,۵۸,۱۳۸۷,۱٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۱۷۲٬۰۰۰ تومان,۴ از ۴,۱,,,1,1,,,gY_RWndI
apartment-sell,آپارتمان,تهران,ایران,tehran,۷۴,۱۳۸۸,۲٬۰۸۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۱۰۸٬۰۰۰ تومان,۳ از ۵,۱,1,,1,1,35.684486,51.44132,gYfB65SA
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۲۱,۱۳۸۸,۳٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۹۹۲٬۰۰۰ تومان,۳ از ۳,۲,,1,1,1,35.687870943389,51.437108516693,gY_FWjoW
apartment-sell,آپارتمان,تهران,ایران,tehran,۶۶,۱۳۷۷,۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۷٬۸۷۹٬۰۰۰ تومان,۱ از ۴,۱,,,1,1,,,gYoVwL_u
apartment-sell,آپارتمان,تهران,ایران,tehran,۶۰,۱۳۸۳,۱٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۰۰۰٬۰۰۰ تومان,۴,۱,,,1,1,35.681175,51.438786,gYOpL8kY
apartment-sell,آپارتمان,تهران,ایران,tehran,۷۵,۱۴۰۰,۲٬۶۲۰٬۰۰۰٬۰۰۰ تومان,۳۴٬۹۳۳٬۰۰۰ تومان,۱,۲,1,1,1,1,,,gYet6RCu
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۴۵,۱۳۹۹,توافقی,,۲ از ۵,۳,1,1,1,1,,,gY_ZjD6c
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۵۵,۱۴۰۰,توافقی,,۴ از ۵,۳,1,1,1,1,,,gY_FzTMA
apartment-sell,آپارتمان,تهران,ایران,tehran,۶۲,۱۳۸۷,۱٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۶۴۵٬۰۰۰ تومان,۱ از ۴,۱,,,1,1,,,gY-ZaroU
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۱۹,۱۳۹۷,۴٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۳۹٬۰۷۶٬۰۰۰ تومان,۱ از ۵,۳,1,1,1,1,35.68649,51.437706,gY-p1fvS
apartment-sell,آپارتمان,تهران,ایران,tehran,۲۵۳,۱۳۸۸,۹٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۷٬۵۴۹٬۰۰۰ تومان,۲ از ۳,+۴,,1,1,1,35.6872,51.437828,gY-lBQ58
apartment-sell,آپارتمان,تهران,ایران,tehran,۸۱,۱۳۷۳,۲٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۱۶۰٬۰۰۰ تومان,۱ از ۵,۲,,1,,1,,,gY81_jaY
apartment-sell,آپارتمان,تهران,ایران,tehran,۷۹,۱۳۷۵,۳٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۳۹٬۸۷۳٬۰۰۰ تومان,همکف از ۳,۲,,,,1,35.685715,51.442574,gY8p7jVw
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۰۰,۱۳۹۵,۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,۵ از ۶,۲,1,1,,1,35.69017,51.444153,gY8ZwUU-
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۴۱,۱۳۹۵,۵٬۶۴۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۰۰۰٬۰۰۰ تومان,۱ از ۶,۳,1,1,1,1,35.69053,51.445694,gY7pMQI_
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۰۷,۱۳۹۰,توافقی,,۵,۳,1,1,1,1,35.725391833761,51.485409736633,QY6D4seV
apartment-sell,آپارتمان,تهران,ایران,tehran,۹۴,۱۴۰۰,۴٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۸۰۹٬۰۰۰ تومان,۱,۲,1,1,,1,35.683844957088,51.443722844124,gYWFowa5
apartment-sell,آپارتمان,تهران,ایران,tehran,۶۵,۱۳۷۲,۲٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۴۶۲٬۰۰۰ تومان,۲ از ۳,۱,,1,1,1,,,gYcVxXBN
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۲۳,۱۴۰۰,۴٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۷۷۲٬۰۰۰ تومان,۲ از ۵,۲,1,1,1,1,,,gY7F5QnQ
apartment-sell,آپارتمان,تهران,ایران,tehran,۷۵,۱۳۸۳,۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۰۰۰٬۰۰۰ تومان,۳ از ۳,۲,,,1,1,35.690735,51.44414,gY7BYB5b
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۲۹,۱۳۹۲,توافقی,,۲ از ۵,۳,1,1,1,1,35.685642,51.444565,gY39HCf9
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۳۵,۱۳۹۶,۷٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۵۴٬۰۷۴٬۰۰۰ تومان,۳,۳,1,1,1,1,,,gY7xUyGE
apartment-sell,آپارتمان,تهران,ایران,tehran,۲۰۰,۱۴۰۰,توافقی,,۱ از ۵,۳,1,1,1,1,,,gY6lX3Dt
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۰۱,۱۳۸۳,۴٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۴۱٬۵۸۴٬۰۰۰ تومان,۲ از ۵,۲,1,1,1,1,35.684048,51.442696,gY65jYl9
apartment-sell,آپارتمان,تهران,ایران,tehran,۱۲۲,۱۳۸۵,توافقی,,۳ از ۳,۲,,1,1,1,,,gY51XB3a
apartment-sell,آپارتمان,تهران,ایران,tehran,۳۰۰,۱۴۰۰,۱۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۳۳۳٬۰۰۰ تومان,۱ از ۵,۴,1,1,1,1,,,gYylTTnj
