slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۲۰۳,قبل از ۱۳۷۰,۱۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۴٬۱۸۷٬۰۰۰ تومان,همکف,۳,,,1,1,,,gYAmcb4q
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۲۰,۱۴۰۰,۷٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۶۰٬۰۰۰٬۰۰۰ تومان,۲,۲,1,1,1,1,35.732166,51.41272,gYAap5nW
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۸۰,۱۳۸۹,توافقی,,۲,۲,1,1,1,1,35.731202781958,51.412968635559,gYAi4wbM
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۰۴,۱۳۸۴,۴٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۴۷٬۱۱۵٬۰۰۰ تومان,۶ از ۶,۲,1,,,1,,,gYstNRBD
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۳۵,۱۴۰۰,توافقی,,۵ از ۶,۳,1,1,1,1,,,gY59y6PT
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۳۶,۱۴۰۰,توافقی,,۷,۳,1,1,1,1,,,gY0Ri27V
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۵۰,۱۳۸۰,توافقی,,۳ از ۵,۳,1,1,1,1,,,gY2VWxhY
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۷۱,۱۳۸۹,۴٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۹٬۱۵۵٬۰۰۰ تومان,۴,۱,1,1,1,1,35.731159235445,51.412526071072,gY_B6ROf
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۰۴,۱۳۸۲,توافقی,,۱ از ۵,۲,1,1,1,1,35.73269,51.41278,gY_ZX7sM
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۱۰,۱۳۸۰,۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴۳٬۶۳۶٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gYtZRrFu
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۹۶,۱۳۷۱,۱۰٬۳۸۸٬۰۰۰٬۰۰۰ تومان,۵۳٬۰۰۰٬۰۰۰ تومان,۲,۳,,1,1,1,,,gYOd6ygt
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۱۰,۱۴۰۰,۱٬۳۶۴٬۰۰۰٬۰۰۰ تومان,۱۲٬۴۰۰٬۰۰۰ تومان,۱۳ از ۱۳,۲,1,1,1,1,,,gYMdSRBN
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۳۰,قبل از ۱۳۷۰,توافقی,,۳ از ۵,۲,1,1,1,1,,,gY-Rt7Rr
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۲۰,۱۳۷۱,۵٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۸۳۳٬۰۰۰ تومان,۴ از ۴,۲,,1,1,1,35.742046,51.41376,gYeVFujr
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۳۶,۱۴۰۰,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۷۳۵٬۰۰۰ تومان,۱,۲,1,1,1,1,,,gY-Bg4xm
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۲۰,۱۳۷۲,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۱٬۶۶۷٬۰۰۰ تومان,۱ از ۴,۳,1,1,1,1,35.73158,51.41177,gY9F_OMP
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۱۰,۱۴۰۰,۹۰۰٬۰۰۰٬۰۰۰ تومان,۸٬۱۸۲٬۰۰۰ تومان,۳,۲,,,1,1,,,gY9FHZEj
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۲۶۰,قبل از ۱۳۷۰,توافقی,,همکف,۳,,1,1,1,,,gYm9Tgop
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۲۰۶,قبل از ۱۳۷۰,۱۰٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۹۷۱٬۰۰۰ تومان,همکف از ۳,۳,,1,1,1,35.731808,51.413567,gYbNNlqg
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۱۰,۱۳۷۲,توافقی,,۲,۲,1,1,1,1,,,gYutS-qb
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۲۰,۱۳۷۸,۵٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۵۰۰٬۰۰۰ تومان,۱,۳,1,1,1,1,,,gY8lumP3
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۵۰,۱۳۷۱,۹٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۶۱٬۳۳۳٬۰۰۰ تومان,۴,۳,1,1,1,1,35.73964,51.414055,gY8hdOL4
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۴۰,۱۳۷۱,۵٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۴۱٬۷۸۶٬۰۰۰ تومان,۱,۳,,1,1,1,,,gY8tr9A2
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۴۰,قبل از ۱۳۷۰,۵٬۸۵۰٬۰۰۰٬۰۰۰ تومان,۴۱٬۷۸۶٬۰۰۰ تومان,۱ از ۴,۳,,1,1,1,35.734517479246,51.419318115829,gY8NpHuS
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۹۹,۱۴۰۰,توافقی,,۱۰,۲,1,1,1,1,,,gYjFwEha
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۸۶,۱۴۰۰,۱٬۰۶۰٬۰۰۰٬۰۰۰ تومان,۱۲٬۳۲۶٬۰۰۰ تومان,۷,۲,1,1,,1,,,gY75Hy8t
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۰۷,۱۳۸۰,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۷۲۹٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gY7hWQY1
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۲۰,۱۳۷۱,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۱٬۶۶۷٬۰۰۰ تومان,۱ از ۴,۳,1,1,1,1,35.731523575186,51.411964166081,gY7ZFtu8
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۰۷,۱۳۸۰,۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۴۶٬۷۲۹٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gY7JFvcU
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۴۴,قبل از ۱۳۷۰,۳٬۸۹۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۰۱۴٬۰۰۰ تومان,زیرهمکف,۲,,,,1,35.732113,51.41201,gYmJkwwy
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۷۰,قبل از ۱۳۷۰,۷٬۶۵۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۰۰۰٬۰۰۰ تومان,۳,۳,1,,1,1,,,gY6hhblL
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۴۰,قبل از ۱۳۷۰,توافقی,,۲,۳,,1,1,1,,,gYzdG9sp
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۲۰,۱۴۰۰,۱٬۳۲۰٬۰۰۰٬۰۰۰ تومان,۱۱٬۰۰۰٬۰۰۰ تومان,۲,۳,1,1,1,1,,,gY51QSmC
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۲۱۰,قبل از ۱۳۷۰,۱۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۲٬۳۸۱٬۰۰۰ تومان,زیرهمکف,۳,1,1,1,1,,,gY41tUl5
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۵۳,۱۳۸۲,۷٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۶۹۳٬۰۰۰ تومان,۲,۳,1,,1,1,,,gYXd7DMv
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۹۸,۱۳۸۰,۴٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۴۸٬۹۸۰٬۰۰۰ تومان,۲ از ۵,۲,1,1,1,1,,,gYs9NQw6
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۹۳,۱۳۷۵,۴٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۵۰٬۵۳۸٬۰۰۰ تومان,۱,۲,,1,1,1,,,gYmhTDuC
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۴۶,۱۳۷۱,۸٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۶٬۱۶۴٬۰۰۰ تومان,۲,۳,1,1,1,1,,,gY31KJuD
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۱۸,۱۴۰۰,۷٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۶۵٬۲۵۴٬۰۰۰ تومان,۵ از ۵,۲,1,1,1,1,,,gYexFhWG
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۳۰,۱۳۷۷,توافقی,,۳,۲,1,1,1,1,,,gY3BK7vQ
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۸۲,۱۳۸۰,۳٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۶۸۳٬۰۰۰ تومان,۱,۲,1,,,1,35.730289083957,51.418043177762,gY3t55qp
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۷۰,۱۳۷۲,توافقی,,همکف از ۴,۳,,1,1,1,35.74038,51.41008,gYWNXDuU
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۹۰,قبل از ۱۳۷۰,توافقی,,۳,۲,,1,1,1,,,gYnJqqWs
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۰۰,قبل از ۱۳۷۰,۳٬۸۰۰٬۰۰۰٬۰۰۰ تومان,۳۸٬۰۰۰٬۰۰۰ تومان,۱,۲,,,,1,,,gY3B1IHi
apartment-sell,آپارتمان,تهران,آرژانتین,tehran,۱۱۱,قبل از ۱۳۷۰,۷٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۶۷٬۵۶۸٬۰۰۰ تومان,۲,۲,1,1,1,1,,,gY2pn4IL
