slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۲۵۰,۱۳۹۸,۲۵٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰٬۰۰۰ تومان,۲,۳,1,1,1,1,,,gY7hHFVr
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۱۵۰,۱۳۹۰,۱۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۹۳٬۳۳۳٬۰۰۰ تومان,۳,۳,1,1,1,1,,,gY8R80tp
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۱۷۰,۱۳۹۰,۱۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۵۸٬۸۲۴٬۰۰۰ تومان,۱ از ۵,۳,1,1,1,1,,,gYltzPp1
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۲۲۰,۱۴۰۰,۳۱٬۹۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۵٬۰۰۰٬۰۰۰ تومان,۲,۳,1,1,1,1,,,gYBCwWot
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۱۲۰,۱۴۰۰,۱۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۴۱٬۶۶۷٬۰۰۰ تومان,۸,۲,1,1,1,1,,,gYOB5WyW
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۲۲۰,۱۴۰۰,توافقی,,۲ از ۵,۳,1,1,1,1,,,gYap2ts7
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۱۸۰,۱۳۹۷,۲۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۱۱۱٬۱۱۱٬۰۰۰ تومان,۶,۳,1,1,1,1,,,gYAifrt8
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۱۵۰,۱۳۹۰,۱۳٬۲۰۰٬۰۰۰٬۰۰۰ تومان,۸۸٬۰۰۰٬۰۰۰ تومان,۳,۳,1,1,1,1,,,gYzd63LR
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۲۰۰,۱۳۸۶,۱۶٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۸۰٬۰۰۰٬۰۰۰ تومان,۱۰,۳,1,1,1,1,,,gYAaP9F1
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۱۸۳,۱۳۸۲,۹٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۵۳٬۰۰۵٬۰۰۰ تومان,۲ از ۶,۳,1,1,1,1,,,gY8BcSbw
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۱۵۰,۱۳۹۰,۱۳٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۸۸٬۶۶۷٬۰۰۰ تومان,۳ از ۵,۳,1,1,1,1,,,gY4Z8R8C
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۲۲۵,۱۴۰۰,۳۳٬۷۵۰٬۰۰۰٬۰۰۰ تومان,۱۵۰٬۰۰۰٬۰۰۰ تومان,۶,۳,1,1,1,1,35.810715,51.484962,gY6tT9y2
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۲۱۰,۱۴۰۰,توافقی,,۳,۳,1,1,1,1,,,gYAueWLd
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۱۲۵,۱۴۰۰,توافقی,,۲,۲,1,1,1,1,,,QYJPLO6f
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۱۲۰,۱۴۰۰,توافقی,,۷,۲,1,1,1,1,,,gY5Jwbmb
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۱۱۸,۱۳۸۶,۱۰٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۸۴٬۷۴۶٬۰۰۰ تومان,۶ از ۱۰,۲,1,1,1,1,,,gYAWuPb0
apartment-sell,آپارتمان,تهران,آجودانیه,tehran,۱۴۰,۱۳۹۸,۱۴٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۳٬۵۷۱٬۰۰۰ تومان,۱,۳,1,1,1,1,,,gY_hjD0F
