slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,بهار,tehran,۷۴,۱۳۸۵,۳٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۴۵٬۹۴۶٬۰۰۰ تومان,۲,۲,1,1,1,1,35.716034,51.437298,gYBqw_7C
apartment-sell,آپارتمان,تهران,بهار,tehran,۲۰۰,۱۴۰۰,۷٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۳۵٬۰۰۰٬۰۰۰ تومان,۱,۴,1,1,1,1,,,gYA2fqlT
apartment-sell,آپارتمان,تهران,بهار,tehran,۸۰,۱۴۰۰,۴٬۶۴۰٬۰۰۰٬۰۰۰ تومان,۵۸٬۰۰۰٬۰۰۰ تومان,۳ از ۵,۲,1,1,1,1,,,gYAuv-q5
apartment-sell,آپارتمان,تهران,بهار,tehran,۱۰۰,۱۳۸۵,۳٬۹۵۰٬۰۰۰٬۰۰۰ تومان,۳۹٬۵۰۰٬۰۰۰ تومان,۳,۲,,1,1,1,,,gYAafcJZ
apartment-sell,آپارتمان,تهران,بهار,tehran,۸۳,۱۳۹۰,۳٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۴۲٬۷۷۱٬۰۰۰ تومان,۳,۲,1,1,1,1,,,gYAO_tzX
apartment-sell,آپارتمان,تهران,بهار,tehran,۸۷,۱۳۹۸,۳٬۵۲۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۴۶۰٬۰۰۰ تومان,۴ از ۵,۲,1,1,1,1,,,gY7dV9c6
apartment-sell,آپارتمان,تهران,بهار,tehran,۶۵,۱۴۰۰,توافقی,,۵ از ۵,۱,1,1,1,1,,,gY7p5Cj1
apartment-sell,آپارتمان,تهران,بهار,tehran,۶۵,۱۴۰۰,توافقی,,۳ از ۵,۱,1,1,1,1,,,gY4V9UW5
apartment-sell,آپارتمان,تهران,بهار,tehran,۶۰,۱۳۹۰,۲٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۴۰٬۸۳۳٬۰۰۰ تومان,۲ از ۴,۱,1,1,1,1,,,gYAa-EWf
apartment-sell,آپارتمان,تهران,بهار,tehran,۱۱۵,۱۳۹۲,توافقی,,۴,۲,1,1,1,1,,,gYut5Zi-
