slug,category_title,city,district,latin_city,meter,built_year,total_cost,price_per_meter,floor,room,elevator,parking,storage,divder,lat,long,token
apartment-sell,آپارتمان,تهران,بریانک,tehran,۱۳۵,۱۴۰۰,۳٬۷۰۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۴۰۷٬۰۰۰ تومان,۵ از ۶,۳,1,1,1,1,,,gYBmwuov
apartment-sell,آپارتمان,تهران,بریانک,tehran,۷۰,۱۳۷۳,۱٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۱۷٬۸۵۷٬۰۰۰ تومان,۱,۲,,,,1,,,gYAOOT2W
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۰,۱۳۹۶,۱٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۰۰۰٬۰۰۰ تومان,۲,۱,1,1,1,1,,,gYBWQYhs
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۳,۱۳۷۵,۱٬۴۲۸٬۰۰۰٬۰۰۰ تومان,۲۲٬۶۶۷٬۰۰۰ تومان,۱,۱,,,1,1,,,gYBSgDUf
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۳,۱۳۸۳,۱٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۵۲۸٬۰۰۰ تومان,۲ از ۳,۱,,1,1,1,35.674026,51.375698,gY3x0SEQ
apartment-sell,آپارتمان,تهران,بریانک,tehran,۷۲,۱۳۹۰,۱٬۵۱۲٬۰۰۰٬۰۰۰ تومان,۲۱٬۰۰۰٬۰۰۰ تومان,۴ از ۴,۲,,1,1,1,,,gYBOQHAE
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۵,۱۳۸۳,۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۲۲۲٬۰۰۰ تومان,همکف از ۴,۱,,1,1,1,,,gY_B7GyD
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۴,۱۳۷۵,۱٬۴۲۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۱۸۸٬۰۰۰ تومان,۱ از ۴,۱,,,1,1,,,gYBKQNvB
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۴,۱۳۷۶,۱٬۴۲۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۱۸۸٬۰۰۰ تومان,۱,۱,,,1,1,,,gYBGg6yO
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۳,۱۳۷۴,۸۵۰٬۰۰۰٬۰۰۰ تومان,۱۶٬۰۳۸٬۰۰۰ تومان,۴,۱,,,,1,,,gY_17a5Z
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۶,۱۳۸۹,۱٬۲۵۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۳۲۱٬۰۰۰ تومان,۱,۱,,1,1,1,,,gYBCQRvw
apartment-sell,آپارتمان,تهران,بریانک,tehran,۸۹,۱۳۷۸,۱٬۵۶۰٬۰۰۰٬۰۰۰ تومان,۱۷٬۵۲۸٬۰۰۰ تومان,۱,۲,,,1,1,,,gY3hVXOs
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۰,۱۳۹۶,۱٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۲۹٬۰۰۰٬۰۰۰ تومان,۲ از ۴,۱,1,1,1,1,,,gY6NlTYq
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۵,۱۳۸۳,۱٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۴۴۴٬۰۰۰ تومان,۳,۱,,1,1,1,,,gYA6tTou
apartment-sell,آپارتمان,تهران,بریانک,tehran,۹۰,۱۳۸۱,۱٬۵۶۰٬۰۰۰٬۰۰۰ تومان,۱۷٬۳۳۳٬۰۰۰ تومان,۲,۲,,,1,1,,,gYAqKSou
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۴,۱۳۹۳,۱٬۲۷۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۵۱۹٬۰۰۰ تومان,۱,۱,,1,1,1,,,gYAGa61m
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۴,۱۳۹۵,۱٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۰۷۴٬۰۰۰ تومان,۴,۱,1,,,1,,,gY6RmY4P
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۳,۱۳۸۱,۸۰۰٬۰۰۰٬۰۰۰ تومان,۱۸٬۶۰۵٬۰۰۰ تومان,۳,۱,,,1,1,,,gYAOq2LG
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۸,۱۳۹۰,۱٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۲۷۶٬۰۰۰ تومان,۴ از ۴,۲,1,,1,1,,,gYAq__Jv
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۵,۱۳۹۲,۱٬۱۸۰٬۰۰۰٬۰۰۰ تومان,۲۶٬۲۲۲٬۰۰۰ تومان,۲,۱,1,,1,1,,,gY-Rwky4
apartment-sell,آپارتمان,تهران,بریانک,tehran,۸۹,۱۳۷۸,۱٬۵۶۰٬۰۰۰٬۰۰۰ تومان,۱۷٬۵۲۸٬۰۰۰ تومان,۱,۲,,,1,1,,,gY2NSlNA
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۱,۱۳۸۵,۱٬۲۷۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۸۲۰٬۰۰۰ تومان,۳,۱,1,1,1,1,,,gY4Zcy1f
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۸,۱۳۸۲,۱٬۲۹۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۲۴۱٬۰۰۰ تومان,۲ از ۴,۱,,1,1,1,,,gYSJ2smh
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۴,۱۳۹۴,۱٬۳۳۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۶۳۰٬۰۰۰ تومان,۳,۱,1,,1,1,,,gYAG_82r
apartment-sell,آپارتمان,تهران,بریانک,tehran,۷۵,۱۳۸۶,۱٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۱۸٬۰۰۰٬۰۰۰ تومان,۳,۲,,,1,1,,,gY-1zf4L
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۸,۱۳۹۳,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۸۶۲٬۰۰۰ تومان,۱ از ۴,۲,,,1,1,35.671105533167,51.379153349332,gYA6Osl2
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۶,۱۳۸۲,۱٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۹۱۳٬۰۰۰ تومان,۳,۱,,1,1,1,,,gYA2-xeB
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۹,۱۳۸۹,۱٬۱۶۰٬۰۰۰٬۰۰۰ تومان,۱۹٬۶۶۱٬۰۰۰ تومان,۳,۱,,,1,1,,,gY_lbHB_
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۵,۱۳۸۰,۱٬۰۲۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۶۶۷٬۰۰۰ تومان,همکف از ۴,۱,,,1,1,,,gYAm-8Mq
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۰,۱۳۹۶,۱٬۲۳۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۵۰۰٬۰۰۰ تومان,۳,۱,1,,1,1,,,gYAienxz
apartment-sell,آپارتمان,تهران,بریانک,tehran,۳۸,۱۳۸۲,۸۶۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۶۳۲٬۰۰۰ تومان,۲ از ۳,۱,,,,1,,,gYAa-3zv
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۸,۱۳۸۸,۱٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۴۱۴٬۰۰۰ تومان,۲,۱,1,1,1,1,,,gYASrtvl
apartment-sell,آپارتمان,تهران,جیحون,tehran,۴۴,۱۳۷۸,۹۵۰٬۰۰۰٬۰۰۰ تومان,۲۱٬۵۹۱٬۰۰۰ تومان,۱,۱,,,1,1,,,gYd1kfgp
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۵,۱۳۸۲,۱٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۲۲۲٬۰۰۰ تومان,۲ از ۴,۱,,1,1,1,,,gYslsUVk
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۴,۱۳۸۵,۱٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۳۱۲٬۰۰۰ تومان,۲,۱,1,,1,1,,,gY_VYeRI
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۳,۱۳۸۳,۱٬۱۵۰٬۰۰۰٬۰۰۰ تومان,۲۱٬۶۹۸٬۰۰۰ تومان,۳,۱,,1,1,1,,,gYAO-pAn
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۰,۱۳۹۰,۹۴۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۵۰۰٬۰۰۰ تومان,۲,۱,,,1,1,,,gY_pmn6M
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۰,۱۳۹۴,۱٬۲۳۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۵۰۰٬۰۰۰ تومان,۳,۱,1,,1,1,,,gYACuHin
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۸,۱۳۹۲,۱٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۰۰۰٬۰۰۰ تومان,۳ از ۴,۱,1,,1,1,,,gYA2NaX_
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۵,۱۳۹۵,۱٬۳۲۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۰۰۰٬۰۰۰ تومان,۳,۱,1,,1,1,,,gYAqNHNA
apartment-sell,آپارتمان,تهران,بریانک,tehran,۷۱,۱۳۸۳,۱٬۳۵۱٬۰۰۰٬۰۰۰ تومان,۱۹٬۰۲۸٬۰۰۰ تومان,۳,۲,,,1,1,,,gY-1Rxym
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۰,۱۳۹۶,۷۷۰٬۰۰۰٬۰۰۰ تومان,۱۵٬۴۰۰٬۰۰۰ تومان,۴,۱,1,1,1,1,,,gYAidOL-
apartment-sell,آپارتمان,تهران,بریانک,tehran,۷۴,۱۳۸۵,۱٬۳۲۰٬۰۰۰٬۰۰۰ تومان,۱۷٬۸۳۸٬۰۰۰ تومان,۲,۲,,,1,1,,,gYAmdGqb
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۳,۱۳۹۲,۱٬۲۷۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۹۶۲٬۰۰۰ تومان,۲,۱,,1,1,1,,,gY_JEpOV
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۶,۱۳۹۰,۹۹۵٬۰۰۰٬۰۰۰ تومان,۲۱٬۶۳۰٬۰۰۰ تومان,۱ از ۴,۱,,,1,1,,,gY_FEtKO
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۴,۱۳۸۵,۱٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۳۱۲٬۰۰۰ تومان,۲,۱,1,,1,1,,,gY0xr99L
apartment-sell,آپارتمان,تهران,بریانک,tehran,۹۰,۱۳۷۸,۱٬۵۶۰٬۰۰۰٬۰۰۰ تومان,۱۷٬۳۳۳٬۰۰۰ تومان,۱,۲,,,1,1,,,gY2V12r-
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۱,۱۳۷۳,۱٬۴۰۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۹۵۱٬۰۰۰ تومان,۲,۱,,,,1,35.67538,51.378513,gYAadA0O
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۰,۱۳۸۸,۸۰۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۰۰۰٬۰۰۰ تومان,۲,۱,,,1,1,,,gY4dtEcv
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۳,۱۳۹۳,۱٬۲۷۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۹۶۲٬۰۰۰ تومان,۱,۱,,1,1,1,,,gY_JzRau
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۰,۱۳۹۴,۱٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۸۳۳٬۰۰۰ تومان,۱ از ۴,۲,1,,1,1,,,gYASdMmx
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۳,۱۳۹۷,۱٬۴۵۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۰۱۶٬۰۰۰ تومان,۱,۱,1,,1,1,,,gYAGt2Jc
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۵,۱۳۸۳,۱٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۴۴۴٬۰۰۰ تومان,۲,۱,,1,1,1,,,gYnF9hYU
apartment-sell,آپارتمان,تهران,بریانک,tehran,۱۲۱,۱۴۰۰,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۷۹۳٬۰۰۰ تومان,۴ از ۴,۳,1,1,1,1,,,gY-ZQwq1
apartment-sell,آپارتمان,تهران,بریانک,tehran,۷۰,۱۳۸۷,۱٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۲۲٬۱۴۳٬۰۰۰ تومان,۱,۲,1,1,1,1,,,gYAa892k
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۵,۱۳۹۵,۱٬۲۹۰٬۰۰۰٬۰۰۰ تومان,۲۸٬۶۶۷٬۰۰۰ تومان,۲,۱,,1,1,1,,,gYAacCGS
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۴,۱۳۸۵,۱٬۳۰۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۳۱۲٬۰۰۰ تومان,۲,۱,1,,1,1,,,gY097idG
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۴,۱۳۷۴,۸۵۰٬۰۰۰٬۰۰۰ تومان,۱۵٬۷۴۱٬۰۰۰ تومان,۳,۱,,,1,1,,,gYe14PLB
apartment-sell,آپارتمان,تهران,بریانک,tehran,۳۸,۱۳۷۷,۹۱۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۹۴۷٬۰۰۰ تومان,همکف,۱,,,1,1,,,gY8xauhC
apartment-sell,آپارتمان,تهران,بریانک,tehran,۱۳۷,۱۴۰۰,۳٬۰۰۰٬۰۰۰٬۰۰۰ تومان,۲۱٬۸۹۸٬۰۰۰ تومان,۲ از ۵,۳,1,1,1,1,,,gY3NXKwk
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۳,۱۳۷۴,۸۵۰٬۰۰۰٬۰۰۰ تومان,۱۶٬۰۳۸٬۰۰۰ تومان,۳,۱,,,1,1,,,gYn97vdE
apartment-sell,آپارتمان,تهران,بریانک,tehran,۹۴,۱۳۹۵,۲٬۴۳۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۸۵۱٬۰۰۰ تومان,۵ از ۵,۲,1,1,1,1,,,gY55BHQM
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۶,۱۴۰۰,۱٬۳۸۰٬۰۰۰٬۰۰۰ تومان,۳۰٬۰۰۰٬۰۰۰ تومان,۴ از ۴,۱,1,,1,1,,,gYAa72fe
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۷,۱۳۹۵,۱٬۵۵۰٬۰۰۰٬۰۰۰ تومان,۲۷٬۱۹۳٬۰۰۰ تومان,۳ از ۴,۱,,,1,1,35.67621,51.386364,gYAWLf4b
apartment-sell,آپارتمان,تهران,بریانک,tehran,۶۳,۱۳۸۲,۱٬۲۶۰٬۰۰۰٬۰۰۰ تومان,۲۰٬۰۰۰٬۰۰۰ تومان,۲ از ۴,۱,,1,1,1,,,QYtGP4zC
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۵,۱۳۸۵,۱٬۱۰۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۴۴۴٬۰۰۰ تومان,۱ از ۴,۱,,1,1,1,,,QY8vtgBg
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۸,۱۳۹۶,۱٬۴۱۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۳۱۰٬۰۰۰ تومان,۴,۲,1,,1,1,35.670605,51.379444,gY_JLRJp
apartment-sell,آپارتمان,تهران,بریانک,tehran,۷۲,۱۴۰۰,۱٬۶۶۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۰۵۶٬۰۰۰ تومان,۵,۲,1,,1,1,,,gYAKrL6Z
apartment-sell,آپارتمان,تهران,بریانک,tehran,۴۲,۱۳۷۸,۸۲۰٬۰۰۰٬۰۰۰ تومان,۱۹٬۵۲۴٬۰۰۰ تومان,۳,۱,,,1,1,,,gY-9ApP0
apartment-sell,آپارتمان,تهران,بریانک,tehran,۱۲۰,۱۴۰۰,۱٬۳۵۶٬۰۰۰٬۰۰۰ تومان,۱۱٬۳۰۰٬۰۰۰ تومان,۹,۲,1,1,1,1,,,gYyRG4nT
apartment-sell,آپارتمان,تهران,بریانک,tehran,۵۷,۱۳۹۰,۱٬۳۵۰٬۰۰۰٬۰۰۰ تومان,۲۳٬۶۸۴٬۰۰۰ تومان,۴,۲,1,,1,1,,,gY4ZtDYh
